,precision,recall,f1-score,support
0,0.6863379143088116,0.6917905887146059,0.6890534645429643,4909.0
1,0.7417648062809353,0.7368599525262801,0.7393042442800034,5898.0
accuracy,0.7163875266031277,0.7163875266031277,0.7163875266031277,0.7163875266031277
macro avg,0.7140513602948735,0.714325270620443,0.7141788544114839,10807.0
weighted avg,0.7165875496240318,0.7163875266031277,0.7164781984088897,10807.0
