,precision,recall,f1-score,support
0,0.6558489182251559,0.7286616418822571,0.690340634951269,4909.0
1,0.7511675695871474,0.681756527636487,0.714780908363701,5898.0
accuracy,0.7030628296474507,0.7030628296474507,0.7030628296474507,0.7030628296474507
macro avg,0.7035082439061516,0.705209084759372,0.702560771657485,10807.0
weighted avg,0.7078697756076882,0.7030628296474507,0.7036790945225213,10807.0
