,precision,recall,f1-score,support
0,0.990818200367272,0.9892035037685883,0.9900101936799185,4909.0
1,0.9910260751777853,0.9923702950152594,0.9916977295831921,5898.0
accuracy,0.9909318034607199,0.9909318034607199,0.9909318034607199,0.9909318034607199
macro avg,0.9909221377725286,0.9907868993919239,0.9908539616315553,10807.0
weighted avg,0.9909316495791167,0.9909318034607199,0.9909311788522612,10807.0
