,precision,recall,f1-score,support
0,0.6132363295001173,0.5322876349562029,0.5699018538713195,4909.0
1,0.6492514512679499,0.7205832485588335,0.6830601092896175,5898.0
accuracy,0.63505135560285,0.63505135560285,0.63505135560285,0.63505135560285
macro avg,0.6312438903840336,0.6264354417575182,0.6264809815804685,10807.0
weighted avg,0.6328918479776483,0.63505135560285,0.6316588068145157,10807.0
